id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
20172005156;10;2005_5;12;51.12259772;-71.05915868;2005-06-04;58;2.272836903;15.38461538;40.7407407;380;243;8.030073654;100;107250;0;0
20172005162;10;2005_5;12;51.12499905;-71.05802259;2005-06-04;58;2.317902757;29.67032967;25.9259259;560;276;8.43723883;100;117750;0;0
20172005177;10;2005_5;12;51.134722;-71.031583;2005-06-04;58;2.031696114;0;51.8518519;144;263;9.748830545;100;6750;0;0
20172007111;10;2007_3;10;51.095153;-71.098402;2007-06-16;66;1.785302314;58.24175824;36.1111111;400;188;10.29599395;100;28750;0;0
20172007102;10;2007_3;10;51.10367;-71.080938;2007-06-16;67;1.849036788;26.37362637;39.8148148;230;153;3.784873393;100;23500;1000;0
20202007UB109;10;2007_5;13;51.83473;-68.22905;2007-06-16;68;1.64174692;6.593406593;57.4074074;370;203;10.15602325;100;41500;0;0
20202007UB087;10;2007_5;13;51.87568;-68.19249;2007-06-16;68;1.566355064;2.197802198;10.1851852;146;216;20.68858449;64.25030444;26500;0;250
20202007UB088;10;2007_5;13;51.89569;-68.26321;2007-06-16;68;1.819428856;29.67032967;0;210;201;28.39564333;80.05036153;33500;0;1500
20202009MC024;10;2009_1;11;50.62559;-68.34702;2009-06-24;70;1.936141111;1.098901099;5.5555556;114;118;26.37051201;84.27171736;17250;0;5500
20182010D047;10;2010_1;8;50.71877;-71.73636;2010-06-22;88;1.996310488;12.08791209;32.4074074;300;214;1.649736092;100;22000;0;0
20182010F018;10;2010_1;8;50.73176;-71.68852;2010-06-24;90;2.066191262;37.36263736;49.0740741;310;262;2.623992777;87.84236405;28000;0;0
20182010D035;10;2010_1;8;50.72491;-71.67133;2010-06-24;90;2.141063669;25.27472527;40.7407407;250;149;21.95426948;99.99856905;21500;500;0
20182010F095;10;2010_1;8;50.82288;-71.59936;2010-06-23;89;1.605639673;0;60.1851852;260;163;32.47056749;99.99999032;38500;0;250
20182010D013;10;2010_1;8;50.7288;-71.6892;2010-06-24;90;2.016759286;3.296703297;36.1111111;265;230;36.6760688;90.19813958;69000;250;4000
20182010F001;10;2010_1;8;50.704248;-71.791517;2010-06-22;88;2.137343279;38.46153846;29.6296296;320;101.5;4.028897458;100;66000;34000;0
20182010F043;10;2010_1;8;50.72666;-71.67074;2010-06-24;90;1.978390569;24.17582418;43.5185185;250;278;9.281417116;95.28146755;41250;1000;0
